famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,G1,G2,G3,average,result,Guardian Job,Guardian Education
GT3,A,4,4,at_home,teacher,mother,5,6,6,5.666666667,Fail,at_home,4
GT3,T,1,1,at_home,other,father,5,5,6,5.333333333,Fail,other,1
LE3,T,1,1,at_home,other,mother,7,8,10,8.333333333,Fail,at_home,1
GT3,T,4,2,health,services,mother,15,14,15,14.66666667,Pass,health,4
GT3,T,3,3,other,other,father,6,10,10,8.666666667,Fail,other,3
LE3,T,4,3,services,other,mother,15,15,15,15,Pass,services,4
LE3,T,2,2,other,other,mother,12,12,11,11.66666667,Pass,other,2
GT3,A,4,4,other,teacher,mother,6,5,6,5.666666667,Fail,other,4
LE3,A,3,2,services,other,mother,16,18,19,17.66666667,Pass,services,3
GT3,T,3,4,other,other,mother,14,15,15,14.66666667,Pass,other,3
GT3,T,4,4,teacher,health,mother,10,8,9,9,Fail,teacher,4
GT3,T,2,1,services,other,father,10,12,12,11.33333333,Pass,other,1
LE3,T,4,4,health,services,father,14,14,14,14,Pass,services,4
GT3,T,4,3,teacher,other,mother,10,10,11,10.33333333,Pass,teacher,4
GT3,A,2,2,other,other,other,14,16,16,15.33333333,Pass,unknown,unknown
GT3,T,4,4,health,other,mother,14,14,14,14,Pass,health,4
GT3,T,4,4,services,services,mother,13,14,14,13.66666667,Pass,services,4
GT3,T,3,3,other,other,mother,8,10,10,9.333333333,Fail,other,3
GT3,T,3,2,services,services,mother,6,5,5,5.333333333,Fail,services,3
LE3,T,4,3,health,other,father,8,10,10,9.333333333,Fail,other,3
GT3,T,4,3,teacher,other,mother,13,14,15,14,Pass,teacher,4
GT3,T,4,4,health,health,father,12,15,15,14,Pass,health,4
LE3,T,4,2,teacher,other,mother,15,15,16,15.33333333,Pass,teacher,4
LE3,T,2,2,other,other,mother,13,13,12,12.66666667,Pass,other,2
GT3,T,2,4,services,health,mother,10,9,8,9,Fail,services,2
GT3,T,2,2,services,services,mother,6,9,8,7.666666667,Fail,services,2
GT3,T,2,2,other,other,mother,12,12,11,11.66666667,Pass,other,2
GT3,T,4,2,health,services,mother,15,16,15,15.33333333,Pass,health,4
LE3,A,3,4,services,other,mother,11,11,11,11,Pass,services,3
GT3,T,4,4,teacher,teacher,mother,10,12,11,11,Pass,teacher,4
GT3,T,4,4,health,services,mother,9,11,12,10.66666667,Pass,health,4
GT3,T,4,4,services,services,mother,17,16,17,16.66666667,Pass,services,4
GT3,T,4,3,teacher,at_home,mother,17,16,16,16.33333333,Pass,teacher,4
LE3,T,3,3,other,other,mother,8,10,12,10,Pass,other,3
GT3,T,3,2,other,other,mother,12,14,15,13.66666667,Pass,other,3
GT3,T,2,3,other,other,father,8,7,6,7,Fail,other,3
LE3,T,4,3,teacher,services,mother,15,16,18,16.33333333,Pass,teacher,4
GT3,A,4,4,other,teacher,mother,15,16,15,15.33333333,Pass,other,4
GT3,T,3,4,services,health,mother,12,12,11,11.66666667,Pass,services,3
GT3,T,2,2,at_home,other,mother,14,13,13,13.33333333,Pass,at_home,2
LE3,T,2,2,other,other,mother,7,10,11,9.333333333,Fail,other,2
LE3,T,4,4,teacher,other,other,12,12,12,12,Pass,unknown,unknown
GT3,T,4,4,services,teacher,father,19,18,18,18.33333333,Pass,teacher,4
GT3,T,2,2,services,services,father,8,8,11,9,Fail,services,2
LE3,T,2,2,other,at_home,father,10,10,9,9.666666667,Fail,at_home,2
LE3,A,4,3,other,other,mother,8,8,6,7.333333333,Fail,other,4
LE3,A,3,3,other,services,mother,11,12,11,11.33333333,Pass,other,3
GT3,T,4,3,health,services,mother,19,19,20,19.33333333,Pass,health,4
GT3,T,4,2,teacher,other,mother,15,15,14,14.66666667,Pass,teacher,4
GT3,T,4,4,services,teacher,father,7,7,7,7,Fail,teacher,4
LE3,T,2,2,services,services,mother,12,13,13,12.66666667,Pass,services,2
LE3,T,4,2,health,other,mother,11,13,13,12.33333333,Pass,health,4
LE3,A,4,2,health,health,father,11,11,10,10.66666667,Pass,health,2
GT3,T,4,4,services,services,mother,8,10,11,9.666666667,Fail,services,4
LE3,A,3,3,other,other,mother,10,13,13,12,Pass,other,3
GT3,A,2,1,other,other,mother,8,9,10,9,Fail,other,2
GT3,A,4,3,services,services,mother,14,15,15,14.66666667,Pass,services,4
GT3,T,4,4,teacher,health,mother,14,15,15,14.66666667,Pass,teacher,4
LE3,T,1,2,other,at_home,father,9,10,9,9.333333333,Fail,at_home,2
GT3,T,4,2,services,other,mother,15,16,16,15.66666667,Pass,services,4
GT3,T,4,4,health,teacher,mother,10,11,11,10.66666667,Pass,health,4
GT3,T,1,1,services,services,father,10,8,11,9.666666667,Fail,services,1
LE3,T,1,2,other,services,father,8,10,9,9,Fail,services,2
GT3,T,4,3,teacher,health,mother,10,9,9,9.333333333,Fail,teacher,4
LE3,T,4,3,services,services,father,10,10,10,10,Pass,services,3
LE3,T,4,3,teacher,services,mother,16,15,15,15.33333333,Pass,teacher,4
GT3,A,4,4,other,services,mother,13,13,12,12.66666667,Pass,other,4
GT3,T,3,1,services,other,mother,7,7,6,6.666666667,Fail,services,3
LE3,T,2,2,health,services,mother,8,9,8,8.333333333,Fail,health,2
LE3,T,3,1,other,other,father,16,16,16,16,Pass,other,1
GT3,T,3,1,other,other,father,13,15,15,14.33333333,Pass,other,1
GT3,T,4,2,other,other,mother,10,10,10,10,Pass,other,4
GT3,T,1,1,other,other,mother,8,6,5,6.333333333,Fail,other,1
GT3,T,3,1,other,other,mother,12,12,14,12.66666667,Pass,other,3
GT3,T,3,3,other,services,mother,11,12,11,11.33333333,Pass,other,3
GT3,T,4,3,teacher,other,mother,9,9,10,9.333333333,Fail,teacher,4
GT3,T,4,0,teacher,other,mother,11,11,10,10.66666667,Pass,teacher,4
GT3,T,2,2,other,other,mother,11,11,11,11,Pass,other,2
GT3,T,2,1,other,other,mother,8,8,10,8.666666667,Fail,other,2
GT3,T,3,4,at_home,other,mother,5,5,5,5,Fail,at_home,3
GT3,T,2,3,other,services,father,10,12,12,11.33333333,Pass,services,3
GT3,T,2,3,other,other,mother,11,10,11,10.66666667,Pass,other,2
LE3,T,3,2,services,other,mother,7,6,6,6.333333333,Fail,services,3
LE3,T,2,2,services,services,mother,15,15,15,15,Pass,services,2
GT3,T,1,1,other,other,father,9,10,10,9.666666667,Fail,other,1
GT3,T,4,4,services,services,father,7,9,8,8,Fail,services,4
LE3,T,2,2,at_home,other,mother,8,7,6,7,Fail,at_home,2
GT3,T,4,2,other,other,mother,13,14,14,13.66666667,Pass,other,4
GT3,T,2,2,services,other,father,11,10,10,10.33333333,Pass,other,2
LE3,A,4,4,teacher,health,mother,8,6,7,7,Fail,teacher,4
GT3,T,3,3,other,other,mother,7,7,8,7.333333333,Fail,other,3
GT3,T,4,3,services,other,mother,16,17,18,17,Pass,services,4
LE3,T,3,1,other,other,father,7,6,6,6.333333333,Fail,other,1
GT3,T,4,2,teacher,services,mother,11,10,10,10.33333333,Pass,teacher,4
LE3,T,2,2,services,health,mother,11,13,14,12.66666667,Pass,services,2
GT3,T,1,1,at_home,other,mother,7,10,10,9,Fail,at_home,1
GT3,T,4,3,services,other,mother,11,15,15,13.66666667,Pass,services,4
GT3,T,2,1,other,other,mother,8,9,10,9,Fail,other,2
GT3,T,4,4,other,other,mother,11,14,14,13,Pass,other,4
GT3,T,4,3,other,at_home,mother,7,9,8,8,Fail,other,4
GT3,T,4,4,services,services,mother,7,7,5,6.333333333,Fail,services,4
GT3,T,4,4,services,teacher,father,16,17,17,16.66666667,Pass,teacher,4
GT3,T,4,4,services,other,mother,10,13,14,12.33333333,Pass,services,4
GT3,T,3,2,services,other,mother,7,6,6,6.333333333,Fail,services,3
GT3,A,3,4,services,other,mother,16,18,18,17.33333333,Pass,services,3
GT3,A,3,3,other,health,father,10,11,11,10.66666667,Pass,health,3
GT3,T,2,2,other,other,mother,7,8,8,7.666666667,Fail,other,2
GT3,T,3,3,services,other,father,16,18,18,17.33333333,Pass,other,3
GT3,T,4,4,other,other,father,10,13,13,12,Pass,other,4
LE3,T,4,4,health,health,mother,14,15,16,15,Pass,health,4
LE3,A,4,4,teacher,teacher,mother,18,19,19,18.66666667,Pass,teacher,4
GT3,T,3,3,services,other,father,7,10,10,9,Fail,other,3
GT3,T,2,2,at_home,other,mother,10,13,13,12,Pass,at_home,2
LE3,T,4,2,teacher,other,mother,18,19,19,18.66666667,Pass,teacher,4
GT3,T,2,1,health,services,mother,9,9,9,9,Fail,health,2
GT3,T,4,4,teacher,teacher,father,15,15,16,15.33333333,Pass,teacher,4
GT3,T,4,4,other,teacher,father,11,13,14,12.66666667,Pass,teacher,4
GT3,T,3,3,other,services,father,13,14,13,13.33333333,Pass,services,3
GT3,T,1,3,other,other,father,9,7,8,8,Fail,other,3
GT3,T,3,4,other,other,father,14,13,13,13.33333333,Pass,other,4
GT3,T,1,2,at_home,services,mother,16,15,15,15.33333333,Pass,at_home,1
GT3,T,2,2,services,services,father,16,14,15,15,Pass,services,2
LE3,T,2,4,other,health,father,13,13,13,13,Pass,health,4
GT3,T,4,4,health,other,mother,14,11,13,12.66666667,Pass,health,4
GT3,T,2,2,other,other,mother,8,7,8,7.666666667,Fail,other,2
GT3,T,3,4,services,services,father,13,13,12,12.66666667,Pass,services,4
LE3,A,3,4,other,other,mother,7,10,11,9.333333333,Fail,other,3
GT3,T,0,1,at_home,other,other,7,8,9,8,Fail,unknown,unknown
GT3,T,2,2,services,other,mother,7,4,0,3.666666667,Fail,services,2
GT3,T,4,4,teacher,teacher,mother,18,18,18,18,Pass,teacher,4
GT3,T,3,4,services,teacher,father,12,0,0,4,Fail,teacher,4
GT3,T,1,1,at_home,other,mother,8,0,0,2.666666667,Fail,at_home,1
LE3,T,2,2,other,other,father,10,13,12,11.66666667,Pass,other,2
GT3,A,3,4,services,other,father,12,11,11,11.33333333,Pass,other,4
GT3,T,3,4,at_home,teacher,mother,9,0,0,3,Fail,at_home,3
GT3,T,4,4,services,at_home,mother,11,0,0,3.666666667,Fail,services,4
GT3,T,3,4,at_home,other,mother,10,0,0,3.333333333,Fail,at_home,3
GT3,A,3,3,other,other,other,4,0,0,1.333333333,Fail,unknown,unknown
LE3,T,1,1,services,other,mother,14,12,12,12.66666667,Pass,services,1
GT3,T,4,4,teacher,teacher,mother,16,16,15,15.66666667,Pass,teacher,4
GT3,T,4,3,teacher,services,father,7,9,0,5.333333333,Fail,services,3
LE3,T,2,2,services,services,father,9,9,9,9,Fail,services,2
GT3,T,4,4,teacher,services,mother,9,11,11,10.33333333,Pass,teacher,4
LE3,T,1,1,at_home,at_home,mother,14,14,13,13.66666667,Pass,at_home,1
GT3,T,2,1,other,other,mother,5,0,0,1.666666667,Fail,other,2
GT3,T,1,1,other,services,father,8,11,11,10,Pass,services,1
GT3,T,3,2,health,services,father,6,7,0,4.333333333,Fail,services,2
GT3,T,1,2,at_home,other,mother,10,11,11,10.66666667,Pass,at_home,1
GT3,T,4,4,teacher,teacher,mother,7,6,0,4.333333333,Fail,teacher,4
LE3,A,2,1,services,other,mother,8,9,10,9,Fail,services,2
LE3,T,1,1,other,other,mother,6,5,0,3.666666667,Fail,other,1
LE3,T,2,1,at_home,other,mother,12,13,14,13,Pass,at_home,2
GT3,T,3,3,services,services,other,10,10,10,10,Pass,unknown,unknown
GT3,T,3,2,services,at_home,mother,5,0,0,1.666666667,Fail,services,3
GT3,T,4,4,other,teacher,mother,11,11,12,11.33333333,Pass,other,4
GT3,T,2,3,at_home,services,mother,11,8,8,9,Fail,at_home,2
LE3,T,1,2,other,other,mother,16,12,13,13.66666667,Pass,other,1
GT3,T,1,1,at_home,other,mother,9,8,10,9,Fail,at_home,1
GT3,T,2,2,at_home,other,mother,17,15,15,15.66666667,Pass,at_home,2
GT3,T,3,3,other,services,father,10,12,12,11.33333333,Pass,services,3
LE3,T,2,1,at_home,other,mother,7,6,0,4.333333333,Fail,at_home,2
GT3,T,3,2,other,other,mother,5,9,7,7,Fail,other,3
LE3,T,1,2,other,other,mother,7,0,0,2.333333333,Fail,other,1
GT3,T,1,3,at_home,services,father,10,10,10,10,Pass,services,3
LE3,T,1,1,other,services,mother,5,8,7,6.666666667,Fail,other,1
GT3,T,3,2,services,services,mother,12,11,12,11.66666667,Pass,services,3
GT3,T,2,2,other,other,father,10,10,10,10,Pass,other,2
GT3,T,4,2,health,services,father,14,15,16,15,Pass,services,2
GT3,T,2,2,other,other,mother,6,7,0,4.333333333,Fail,other,2
GT3,T,4,4,health,health,mother,14,14,14,14,Pass,health,4
GT3,T,3,4,other,other,father,6,5,0,3.666666667,Fail,other,4
GT3,T,1,0,other,other,mother,13,15,16,14.66666667,Pass,other,1
LE3,T,4,4,teacher,other,mother,13,11,10,11.33333333,Pass,teacher,4
GT3,T,1,3,at_home,services,mother,8,7,0,5,Fail,at_home,1
LE3,T,3,3,other,other,mother,10,11,9,10,Pass,other,3
LE3,T,4,3,teacher,other,mother,10,9,9,9.333333333,Fail,teacher,4
GT3,T,2,2,services,other,mother,13,13,11,12.33333333,Pass,services,2
GT3,T,3,3,other,other,father,6,5,6,5.666666667,Fail,other,3
GT3,T,4,2,teacher,services,mother,10,8,9,9,Fail,teacher,4
GT3,T,4,3,other,other,mother,10,10,11,10.33333333,Pass,other,4
GT3,T,4,3,teacher,other,mother,9,8,8,8.333333333,Fail,teacher,4
GT3,T,3,3,services,other,mother,12,13,12,12.33333333,Pass,services,3
GT3,T,2,4,services,services,father,16,17,17,16.66666667,Pass,services,4
LE3,T,3,3,other,other,mother,9,9,8,8.666666667,Fail,other,3
GT3,T,3,2,other,other,mother,12,13,12,12.33333333,Pass,other,3
GT3,T,3,3,services,services,mother,12,12,11,11.66666667,Pass,services,3
GT3,T,1,2,services,services,mother,11,12,11,11.33333333,Pass,services,1
LE3,T,2,1,other,other,mother,15,15,15,15,Pass,other,2
GT3,A,3,3,health,other,mother,8,7,9,8,Fail,health,3
GT3,T,1,2,at_home,other,mother,8,9,10,9,Fail,at_home,1
GT3,T,2,3,services,services,mother,11,12,13,12,Pass,services,2
GT3,T,1,1,at_home,services,mother,8,8,9,8.333333333,Fail,at_home,1
GT3,T,1,2,at_home,services,other,7,8,8,7.666666667,Fail,unknown,unknown
GT3,T,3,3,services,services,mother,8,9,10,9,Fail,services,3
GT3,T,2,3,other,other,father,13,14,14,13.66666667,Pass,other,3
LE3,T,2,4,services,services,father,14,15,15,14.66666667,Pass,services,4
GT3,T,4,4,services,teacher,mother,17,15,16,16,Pass,services,4
