famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,G1,G2,G3,average,result,Guardian Job,Guardian Education
LE3,T,3,3,teacher,other,father,9,9,10,9.333333333,Fail,other,3
GT3,T,4,4,services,teacher,mother,18,18,18,18,Pass,services,4
LE3,T,4,4,teacher,teacher,mother,9,9,10,9.333333333,Fail,teacher,4
GT3,T,4,3,health,other,mother,16,16,16,16,Pass,health,4
GT3,T,2,3,other,other,mother,8,10,10,9.333333333,Fail,other,2
GT3,T,1,1,other,other,mother,9,9,10,9.333333333,Fail,other,1
GT3,T,2,2,other,other,mother,7,6,6,6.333333333,Fail,other,2
GT3,T,2,2,services,services,mother,10,10,11,10.33333333,Pass,services,2
GT3,T,3,4,at_home,services,mother,10,9,9,9.333333333,Fail,at_home,3
GT3,A,3,1,services,other,mother,7,7,7,7,Fail,services,3
GT3,T,4,3,teacher,other,mother,11,12,13,12,Pass,teacher,4
GT3,T,1,1,at_home,other,mother,9,9,10,9.333333333,Fail,at_home,1
GT3,T,4,3,teacher,other,mother,7,7,7,7,Fail,teacher,4
GT3,T,3,3,other,other,other,8,8,8,8,Fail,unknown,unknown
LE3,T,4,4,services,other,mother,12,12,13,12.33333333,Pass,services,4
GT3,A,2,2,other,other,mother,12,13,14,13,Pass,other,2
GT3,T,2,2,services,other,mother,6,7,8,7,Fail,services,2
LE3,T,4,4,services,other,mother,8,10,10,9.333333333,Fail,services,4
LE3,T,3,2,other,other,mother,14,15,15,14.66666667,Pass,other,3
GT3,T,4,3,other,other,mother,6,6,4,5.333333333,Fail,other,4
LE3,T,3,3,services,health,father,6,6,8,6.666666667,Fail,health,3
GT3,T,2,3,at_home,other,father,7,7,8,7.333333333,Fail,other,3
GT3,T,2,2,at_home,at_home,mother,9,10,10,9.666666667,Fail,at_home,2
GT3,T,2,1,at_home,services,mother,6,6,6,6,Fail,at_home,2
GT3,T,1,1,at_home,other,mother,6,5,0,3.666666667,Fail,at_home,1
GT3,T,2,3,services,teacher,mother,16,16,17,16.33333333,Pass,services,2
GT3,T,2,2,other,other,mother,12,13,13,12.66666667,Pass,other,2
GT3,T,4,4,teacher,services,mother,13,13,14,13.33333333,Pass,teacher,4
GT3,T,3,1,other,other,mother,9,8,7,8,Fail,other,3
GT3,T,3,2,other,other,mother,16,15,15,15.33333333,Pass,other,3
LE3,T,2,3,services,services,father,12,11,12,11.66666667,Pass,services,3
LE3,T,2,1,at_home,other,mother,10,8,9,9,Fail,at_home,2
GT3,A,2,1,other,other,mother,12,10,12,11.33333333,Pass,other,2
LE3,T,4,3,health,other,father,13,13,14,13.33333333,Pass,other,3
GT3,T,2,2,other,other,father,11,11,11,11,Pass,other,2
GT3,T,4,4,teacher,teacher,mother,11,9,9,9.666666667,Fail,teacher,4
GT3,T,4,4,health,other,father,14,13,13,13.33333333,Pass,other,4
LE3,T,1,1,other,other,mother,9,7,6,7.333333333,Fail,other,1
GT3,T,3,2,at_home,other,mother,11,9,10,10,Pass,at_home,3
LE3,T,2,2,other,other,father,14,13,13,13.33333333,Pass,other,2
GT3,T,2,1,other,other,mother,13,12,12,12.33333333,Pass,other,2
GT3,T,2,1,at_home,services,mother,13,11,11,11.66666667,Pass,at_home,2
GT3,T,2,2,other,services,father,7,7,0,4.666666667,Fail,services,2
LE3,T,4,3,health,other,mother,12,12,12,12,Pass,health,4
LE3,A,4,4,teacher,other,mother,10,11,12,11,Pass,teacher,4
LE3,T,4,3,teacher,other,mother,6,0,0,2,Fail,teacher,4
GT3,T,4,4,services,services,mother,13,12,12,12.33333333,Pass,services,4
GT3,T,2,1,other,other,other,7,0,0,2.333333333,Fail,unknown,unknown
GT3,T,2,1,other,other,mother,18,18,18,18,Pass,other,2
GT3,T,2,3,other,other,father,12,12,13,12.33333333,Pass,other,3
GT3,T,3,1,services,services,mother,6,8,8,7.333333333,Fail,services,3
LE3,T,3,3,other,services,mother,3,5,5,4.333333333,Fail,other,3
GT3,T,0,2,other,other,mother,13,15,15,14.33333333,Pass,other,0
GT3,T,3,2,services,other,mother,6,8,8,7.333333333,Fail,services,3
GT3,T,3,3,at_home,other,other,7,10,10,9,Fail,unknown,unknown
GT3,T,2,1,services,services,mother,6,9,8,7.666666667,Fail,services,2
GT3,T,2,1,other,other,mother,8,9,8,8.333333333,Fail,other,2
GT3,T,2,1,other,other,mother,8,12,12,10.66666667,Pass,other,2
LE3,T,1,1,health,other,mother,7,9,8,8,Fail,health,1
LE3,T,4,2,teacher,services,mother,14,12,13,13,Pass,teacher,4
LE3,A,4,3,services,at_home,mother,11,11,11,11,Pass,services,4
GT3,T,2,1,other,other,mother,15,14,14,14.33333333,Pass,other,2
LE3,T,2,2,services,services,father,10,9,0,6.333333333,Fail,services,2
GT3,T,4,3,services,other,father,17,18,18,17.66666667,Pass,other,3
GT3,T,4,3,teacher,other,mother,8,8,8,8,Fail,teacher,4
GT3,T,3,2,other,other,mother,13,12,12,12.33333333,Pass,other,3
GT3,T,3,3,other,other,mother,10,9,9,9.333333333,Fail,other,3
GT3,T,2,2,at_home,services,mother,9,10,0,6.333333333,Fail,at_home,2
LE3,A,3,4,other,other,mother,17,17,17,17,Pass,other,3
GT3,T,3,1,services,other,mother,9,9,10,9.333333333,Fail,services,3
GT3,T,4,4,teacher,other,mother,12,10,11,11,Pass,teacher,4
GT3,T,4,2,health,other,father,10,9,10,9.666666667,Fail,other,2
GT3,T,2,1,other,other,mother,6,0,0,2,Fail,other,2
GT3,T,3,3,other,services,other,9,9,9,9,Fail,unknown,unknown
GT3,T,2,3,other,services,father,15,14,14,14.33333333,Pass,services,3
LE3,T,1,1,other,other,mother,11,11,11,11,Pass,other,1
GT3,T,1,2,at_home,at_home,mother,15,14,14,14.33333333,Pass,at_home,1
GT3,T,2,4,at_home,health,mother,10,10,10,10,Pass,at_home,2
LE3,T,2,2,services,other,mother,12,12,12,12,Pass,services,2
GT3,A,3,2,other,services,mother,10,9,9,9.333333333,Fail,other,3
GT3,T,4,4,teacher,services,mother,9,9,9,9,Fail,teacher,4
GT3,T,4,4,health,health,father,9,8,8,8.333333333,Fail,health,4
LE3,T,4,3,teacher,services,mother,10,11,10,10.33333333,Pass,teacher,4
LE3,A,4,1,services,other,mother,8,8,8,8,Fail,services,4
LE3,A,3,2,teacher,services,mother,11,9,10,10,Pass,teacher,3
LE3,T,1,1,at_home,other,mother,12,12,12,12,Pass,at_home,1
GT3,T,1,1,other,other,mother,8,9,10,9,Fail,other,1
GT3,T,2,2,other,other,mother,10,9,11,10,Pass,other,2
GT3,T,1,1,other,other,father,12,10,11,11,Pass,other,1
GT3,T,2,2,at_home,at_home,mother,18,18,19,18.33333333,Pass,at_home,2
GT3,T,1,1,services,teacher,mother,13,12,12,12.33333333,Pass,services,1
GT3,T,2,1,services,services,mother,15,14,14,14.33333333,Pass,services,2
LE3,A,4,4,teacher,teacher,mother,15,13,15,14.33333333,Pass,teacher,4
GT3,T,4,2,teacher,other,mother,12,11,11,11.33333333,Pass,teacher,4
GT3,T,4,3,health,services,mother,15,15,15,15,Pass,health,4
LE3,T,2,1,services,at_home,mother,12,12,13,12.33333333,Pass,services,2
LE3,T,3,1,services,other,mother,18,18,18,18,Pass,services,3
LE3,T,3,2,services,other,mother,14,13,14,13.66666667,Pass,services,3
GT3,T,3,3,health,other,mother,14,12,11,12.33333333,Pass,health,3
GT3,T,4,4,health,other,other,10,9,0,6.333333333,Fail,unknown,unknown
LE3,T,4,3,other,other,other,10,8,8,8.666666667,Fail,unknown,unknown
GT3,T,4,3,other,other,father,14,13,14,13.66666667,Pass,other,3
LE3,T,4,4,teacher,teacher,mother,16,15,16,15.66666667,Pass,teacher,4
LE3,A,4,4,health,other,mother,12,10,11,11,Pass,health,4
LE3,T,4,4,other,teacher,father,11,11,10,10.66666667,Pass,teacher,4
GT3,T,4,2,other,other,mother,15,12,14,13.66666667,Pass,other,4
GT3,T,3,2,health,health,father,17,17,18,17.33333333,Pass,health,2
GT3,T,3,3,other,other,other,15,14,13,14,Pass,unknown,unknown
GT3,T,2,4,services,at_home,other,14,12,12,12.66666667,Pass,unknown,unknown
GT3,A,3,2,services,other,other,17,18,18,17.66666667,Pass,unknown,unknown
GT3,T,4,4,teacher,services,other,8,9,8,8.333333333,Fail,unknown,unknown
GT3,T,3,3,other,services,father,15,12,12,13,Pass,services,3
LE3,T,1,1,at_home,other,other,12,10,10,10.66666667,Pass,unknown,unknown
LE3,T,1,2,services,services,other,9,9,0,6,Fail,unknown,unknown
GT3,T,2,1,at_home,other,other,14,12,13,13,Pass,unknown,unknown
GT3,T,1,2,other,services,other,13,11,11,11.66666667,Pass,unknown,unknown
LE3,T,3,2,services,other,other,13,10,11,11.33333333,Pass,unknown,unknown
GT3,T,1,1,at_home,health,other,15,13,13,13.66666667,Pass,unknown,unknown
GT3,T,2,3,other,other,other,13,11,11,11.66666667,Pass,unknown,unknown
GT3,T,2,1,services,other,mother,8,8,0,5.333333333,Fail,services,2
GT3,T,4,3,other,other,mother,9,10,9,9.333333333,Fail,other,4
GT3,T,3,4,at_home,services,father,11,11,10,10.66666667,Pass,services,4
GT3,T,4,4,teacher,other,mother,11,11,11,11,Pass,teacher,4
GT3,A,4,3,services,services,mother,13,13,13,13,Pass,services,4
GT3,T,2,2,other,other,mother,11,9,9,9.666666667,Fail,other,2
LE3,T,2,2,services,services,mother,11,11,11,11,Pass,services,2
GT3,T,3,1,services,services,father,12,14,15,13.66666667,Pass,services,1
LE3,T,0,2,at_home,at_home,father,16,15,15,15.33333333,Pass,at_home,2
GT3,T,4,4,other,other,mother,9,12,11,10.66666667,Pass,other,4
GT3,T,3,3,other,services,mother,14,15,16,15,Pass,other,3
GT3,T,2,2,services,other,mother,11,10,10,10.33333333,Pass,services,2
GT3,T,4,4,teacher,services,mother,10,9,9,9.333333333,Fail,teacher,4
GT3,T,4,4,teacher,teacher,mother,14,14,14,14,Pass,teacher,4
LE3,T,2,2,other,other,mother,9,8,8,8.333333333,Fail,other,2
GT3,T,2,4,at_home,other,father,12,14,14,13.33333333,Pass,other,4
GT3,T,3,3,services,services,mother,7,0,0,2.333333333,Fail,services,3
LE3,T,2,2,other,other,other,8,8,0,5.333333333,Fail,unknown,unknown
GT3,T,2,2,at_home,other,mother,10,9,0,6.333333333,Fail,at_home,2
GT3,T,3,4,services,other,mother,16,15,15,15.33333333,Pass,services,3
GT3,A,3,1,services,at_home,other,14,13,13,13.33333333,Pass,unknown,unknown
GT3,T,3,2,other,other,mother,7,8,0,5,Fail,other,3
LE3,T,3,3,services,services,mother,16,15,17,16,Pass,services,3
GT3,A,3,2,other,other,mother,9,10,10,9.666666667,Fail,other,3
GT3,T,2,1,services,services,other,11,12,11,11.33333333,Pass,unknown,unknown
GT3,T,4,4,teacher,services,father,10,10,0,6.666666667,Fail,services,4
LE3,T,3,4,services,other,mother,16,15,15,15.33333333,Pass,services,3
GT3,A,2,2,at_home,at_home,father,9,8,0,5.666666667,Fail,at_home,2
GT3,T,2,3,at_home,other,mother,11,10,10,10.33333333,Pass,at_home,2
GT3,T,3,2,other,services,mother,13,13,14,13.33333333,Pass,other,3
GT3,T,4,3,teacher,services,mother,16,15,16,15.66666667,Pass,teacher,4
GT3,T,4,3,teacher,other,mother,10,10,9,9.666666667,Fail,teacher,4
GT3,T,4,3,health,other,mother,13,15,15,14.33333333,Pass,health,4
GT3,T,3,2,other,other,mother,11,13,13,12.33333333,Pass,other,3
GT3,T,1,1,other,services,other,8,7,8,7.666666667,Fail,unknown,unknown
GT3,T,3,3,health,other,mother,13,13,13,13,Pass,health,3
LE3,T,1,3,at_home,services,mother,8,7,8,7.666666667,Fail,at_home,1
GT3,T,1,1,other,other,other,8,8,8,8,Fail,unknown,unknown
GT3,T,4,3,services,other,mother,13,11,11,11.66666667,Pass,services,4
GT3,T,3,3,services,services,father,10,9,9,9.333333333,Fail,services,3
GT3,T,4,4,teacher,services,father,12,13,13,12.66666667,Pass,services,4
LE3,A,3,2,services,other,mother,12,12,11,11.66666667,Pass,services,3
LE3,T,1,1,other,services,father,10,10,10,10,Pass,services,1
LE3,T,1,1,at_home,services,father,18,16,16,16.66666667,Pass,services,1
LE3,A,1,4,at_home,other,mother,13,13,13,13,Pass,at_home,1
LE3,T,1,1,at_home,other,mother,13,12,12,12.33333333,Pass,at_home,1
GT3,T,3,3,services,services,mother,11,11,10,10.66666667,Pass,services,3
LE3,T,4,4,at_home,at_home,mother,16,15,15,15.33333333,Pass,at_home,4
GT3,T,1,2,other,services,father,12,11,12,11.66666667,Pass,services,2
GT3,T,1,3,at_home,other,mother,10,10,10,10,Pass,at_home,1
LE3,T,4,4,teacher,services,mother,13,13,13,13,Pass,teacher,4
GT3,T,1,1,other,services,mother,7,6,0,4.333333333,Fail,other,1
GT3,T,2,3,at_home,services,father,11,10,10,10.33333333,Pass,services,3
GT3,T,4,4,other,teacher,father,14,12,11,12.33333333,Pass,teacher,4
LE3,T,3,2,services,services,other,7,7,9,7.666666667,Fail,unknown,unknown
LE3,T,1,2,at_home,services,father,14,12,12,12.66666667,Pass,services,2
GT3,T,2,2,other,at_home,mother,13,11,11,11.66666667,Pass,other,2
GT3,T,1,2,other,other,mother,6,5,5,5.333333333,Fail,other,1
LE3,T,4,4,other,other,mother,19,18,19,18.66666667,Pass,other,4
GT3,T,1,1,other,other,mother,8,8,10,8.666666667,Fail,other,1
GT3,T,4,2,health,other,other,15,14,15,14.66666667,Pass,unknown,unknown
LE3,T,4,4,teacher,services,mother,8,9,10,9,Fail,teacher,4
GT3,T,3,3,other,other,mother,15,15,15,15,Pass,other,3
GT3,T,3,1,at_home,other,mother,10,10,10,10,Pass,at_home,3
GT3,T,4,4,teacher,teacher,father,15,14,14,14.33333333,Pass,teacher,4
GT3,T,2,1,other,other,mother,7,6,7,6.666666667,Fail,other,2
GT3,T,2,3,other,services,father,11,11,10,10.66666667,Pass,services,3
GT3,T,1,1,other,services,mother,6,5,0,3.666666667,Fail,other,1
GT3,T,4,2,other,other,father,6,5,5,5.333333333,Fail,other,2
GT3,T,2,2,at_home,other,mother,10,9,10,9.666666667,Fail,at_home,2
GT3,T,4,4,teacher,at_home,mother,6,5,6,5.666666667,Fail,teacher,4
GT3,T,2,3,services,other,mother,7,5,0,4,Fail,services,2
LE3,T,3,1,teacher,services,mother,7,9,8,8,Fail,teacher,3
GT3,T,1,1,other,other,mother,6,5,0,3.666666667,Fail,other,1
LE3,A,2,2,services,services,other,9,9,9,9,Fail,unknown,unknown
LE3,T,3,1,services,services,mother,14,16,16,15.33333333,Pass,services,3
GT3,T,1,1,other,other,other,10,8,7,8.333333333,Fail,unknown,unknown
LE3,T,3,2,services,other,mother,11,12,10,11,Pass,services,3
LE3,T,1,1,other,at_home,father,8,9,9,8.666666667,Fail,at_home,1
